Text,Label
when did saudi arabia start using internet,Knowledge
when did the first saudi radio station open,Knowledge
When did the second world war happen,Knowledge
When did you born ?,Knowledge
when was the first airport in the yemen built,Knowledge
when was the UN formed,Knowledge
Which of the following is the method for determining the volume of a cylinder?,Knowledge
Which of the following item does not belong to the set ?,Knowledge
Which of the two liquids is hypotonic,Knowledge
which part of a data packet is used by a router to determine the destination network,Knowledge
Which technology is used by laser printer,Knowledge
Who is the first president of USA,Knowledge
who is the founder of the kingdom of saudi Arabia,Knowledge
who was the first man on the moon,Knowledge
who was the first to compose in the arts of makamat,Knowledge
Who was the writer of the Hamilton,Knowledge
Compare Calliope with Howie. Use the word bank.,Comprehension
Compare historical events to contemporary situations,Comprehension
Complete an analogy (analogy tasks are inference tasks),Comprehension
Describe 4 types of coupling in software design.,Comprehension
Describe how Phillip and Timothy survived on the Cay.,Comprehension
Describe in prose what is shown in graph form.,Comprehension
Describe in your own words how to borrow a book from the library.,Comprehension
Describe in your own words how to copy text from one program into another.,Comprehension
Describe in your own words what happens when a stream's velocity slows.,Comprehension
Describe in your own words what is meant by a sprained ankle.,Comprehension
Describe nuclear transport to a lay person.,Comprehension
Describe the Pareto Principle in statistical software quality assurance.,Comprehension
Describe what goes in each of the four areas on the first page of notes,Comprehension
Describe what took place as the Hato was sinking.,Comprehension
Describe how the linear polarization method can yield corrosion rates,Comprehension
Describe the major clinical differences between visceral and somatic pain,Comprehension
Briefly describe the author's approach to the liabilities of the GOTO statement,Comprehension
Describe what happened at...?,Comprehension
Determine the author’s point of view,Comprehension
Determine the next number in a sequence,Comprehension
Discuss the nature of socialism.,Comprehension
Explain how Timothy saved Phillip's life.,Comprehension
Explain in one's own words how to create a query in a database.,Comprehension
Explain in your own words what a recessive gene is.,Comprehension
Explain in your own words what do you mean by the term economics?,Comprehension
Explain in your own words what is meant by mercantilism.,Comprehension
Explain the causes of historical events,Comprehension
Explain the communicative property.,Comprehension
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Comprehension
Explain the possible uses described in class for the space to the left of the vertical line.,Comprehension
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
Explain what a poem means.,Comprehension
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension
Express your opinion of 'Drugs in Sport' through poetry.,Comprehension
From a blueprint to describe the article depicted.,Comprehension
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators",Comprehension
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
Illustrate what you think the main idea was.,Comprehension
In one sentence explain the main idea of a written passage.,Comprehension
In one sentence illustrate the main point of a written passage.,Comprehension
Interpret the pictures.,Comprehension
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Comprehension
Outline the most important insight of the tale.,Comprehension
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Comprehension
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
Paraphrase an important speech,Comprehension
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension
Paraphrase the poem in your own words,Comprehension
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
Describe the output of this program fragment:,Comprehension
Classify types of corrosion inhibitors,Comprehension
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
"Classify the following substances as particle, atom, element, molecule, compound",Comprehension
How would you classify the geographic location of your school,Comprehension
Classify animals into two groups.,Comprehension
Classify celebrations into family and community categories.,Comprehension
Classify frogs toads and other amphibians.,Comprehension
Restate main idea of story in own words.,Comprehension
Restate the Olympic motto in your own words.,Comprehension
Retell the story in your words.,Comprehension
Rewrite the principles of test writing.,Comprehension
Rewrite you predicted equation for the ideal gas law,Comprehension
Rewrite the markov matrix to account for this slight change.,Comprehension
"Rewrite the sentence in your head, following the direction given below",Comprehension
Rewrite a part in the poem using a different speaker,Comprehension
Select the best title for a passage,Comprehension
State in your own words the rule for balls and strikes in baseball.,Comprehension
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Comprehension
Can you state in your own words what the problem is asking you to do,Comprehension
State in your own words what the author means when he says,Comprehension
Summarize a historical document,Comprehension
Summarize a story in own words.,Comprehension
Summarize Jem’s beliefs about Boo Radley,Comprehension
Summarize the basic tenets of collaborative conservation.,Comprehension
Summarize the basic tenets of deconstructionism.,Comprehension
Summarize this magazine article.,Comprehension
Tell how Phillip kept himself alive after Timothy died.,Comprehension
Tell in your own words how the setting of the story made it more interesting.,Comprehension
Tell in your own words the beginning of the book.,Comprehension
"In your own words, tell what is meant by the definition of an isosceles triangle.",Comprehension
"In your own words, how would you define transferable skills",Comprehension
Translate a written text aloud from L2 to English.,Comprehension
Translate an equation into a computer spreadsheet.,Comprehension
Translate an equation into a spreadsheet formula.,Comprehension
Translate the following passage from The Iliad into English.,Comprehension
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.,Comprehension
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension
Express the rule in function notation,Comprehension
Express the following systems in matrix form,Comprehension
Express the following percentages as fractions in simplest form,Comprehension
Explain the whole method of crushing,Comprehension
"In your own words, how would you summarize the story up",Comprehension
Summarize the main point of these two texts in your own words,Comprehension
Outline the aim of two studies within the,Comprehension
Outline your experience in working with service users,Comprehension
Apply laws of statistics to evaluate the reliability of a written test.,Application
Apply shading to produce depth in drawing.,Application
Apply the rule of law to a new situation,Application
Apply the storytelling technique here to a little story of your own.,Application
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application
Show the value of x after running this program fragment,Application
Calculate for x in the following equation: 12x=36,Application
Calculate the deflection of a beam under uniform loading.,Application
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,Application
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application
Can you apply the method used to some experience of your own . . .?,Application
Can you group by characteristics such as . . .?,Application
Categorise the pictures and add them to the wall display.,Application
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
Compute the area of actual circles.,Application
Compute the volume of a cylinder,Application
Construct a model to demonstrate how it will work.,Application
Demonstrate how the seasons occur.,Application
Demonstrate how this could work in an industry setting?,Application
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Application
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,Application
Derive a kinetic model from experimental data.,Application
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Application
Construct a market strategy for your product using a known strategy as a model.,Application
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Application
"Draw 3 pictures showing the beginning, middle and ending of the story.",Application
Draw a picture of the bears' house.,Application
Draw a picture of the gown Cinderella wore to the ball.,Application
"From the information given, can you develop a set of instructions about . . .?",Application
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Application
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
"If notes are available on the professor’s website, how should those notes be used?",Application
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Application
Make a diorama to illustrate an important event.,Application
Make a paper-mache map to include relevant information about an event.,Application
Make a scrapbook about the areas of study.,Application
Make up a puzzle game using the ideas from the study area.,Application
Model an Olympic Village for the new Millenium.,Application
Participate in a mock election,Application
Predict what happens to X if Y increases.,Application
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application
Relate the principle of reinforcement to classroom interactions.,Application
Relate topographic map to field features,Application
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application
How would you relate position concept with position strategy,Application
"Show, through role-play, the final scene in the novel.",Application
Solve a math problem using familiar procedure or formula,Application
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
Would you solve these two problems using similar approaches,Application
Use Laplace to solve the following problems,Application
Can you solve the following problem,Application
How to specify the impact energy and impact test temperature of the material in the Code,Application
Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Application
Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Application
How does one specify the syntactical restrictions,Application
Specify a deterministic finite automaton (DFA) recognizing the,Application
Take a collection of photographs to demonstrate a particular point.,Application
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Application
Use a manual to calculate an employee's vacation time.,Application
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
Use the rule for a semicolon in a sentence.,Application
What factors would you change if . . .?,Application
What questions would you ask if . . .?,Application
Who can use what we know about sonnets and finish this poem?,Application
Would this information be useful if you had a . . .?,Application
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Application
Sketch a typical absorption process in a packed column with regeneration in form of,Application
sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,Application
How do teenagers use code in emails and instant messages?,Application
Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application
Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application
Use tableau methods to prove that the following tableau is valid.,Application
Use a sketch too find the exact value of each expression,Application
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,Application
What happens if you restrict a determinental process to a subset R S?,Application
What would happen if the rainfall doubled in your state next year,Application
What happens if you change the direction of the displacement (but not its size)?,Application
What would you do if a heavy growth of bacteria had occurred,Application
What would result if …,Application
What approach would you use to prove the truth of the below statement,Application
Construct one Turing Machine for computing each of the following functions,Application
Construct a Venn diagram to determine the validity of the given argument.,Application
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application
"How can we construct H given I, B and E?",Application
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Application
How do you construct foliations on a given manifold M?,Application
How to Construct the Optimal Maintenance Problem,Application
How to construct simple solutions when problems are complex?,Application
Construct the 4-Bit Ripple carry Adder Circuit,Application
Construct an analog circuit with the following specifications,Application
Construct the Data Path of the RISC Processor given in the previous question,Application
How do we construct agents that can deliver. “good” assistance,Application
How to construct the selected information system,Application
Show how they have used creative writing strategies appropriate to the format,Application
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application
Show how E-CRM can be used to improve marketing positioning as explained in the article,Application
How would you show your understanding of the ABC process,Application
Show me how you would check the brake lights are working on this car,Application
Analyze safe and dangerous aspects of these features.,Analysis
Analyze the characteristics of frogs.,Analysis
Analyze the movements and sounds of a frog.,Analysis
"Analyze the problem, identifying its variables.",Analysis
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysis
Break down the main actions of the story.,Analysis
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
Can you compare your . . . with that presented in . . .?,Analysis
Can you distinguish between . . .?,Analysis
Can you explain what must have happened when . . .?,Analysis
Can you find four different feelings Pa Lia had during the story?,Analysis
Compare and contrast animals that the class has made.,Analysis
Compare and contrast our school to other communities.,Analysis
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analysis
Compare and contrast the waterfall model with the prototyping model.,Analysis
Compare and contrast two characters in the book.,Analysis
Compare fall and spring,Analysis
Compare herbatious and carnivorous animals on a Venn diagram.,Analysis
Compare how different children come to school.,Analysis
Compare the place where the story happened with where you live.,Analysis
Compare this book to the last book you read.,Analysis
Compare three celebrations using a Venn diagram.,Analysis
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
Compare two of the characters in this book.,Analysis
Conduct an investigation to produce information to support a view.,Analysis
Contrast building in the coastal zone with building in a river floodplain.,Analysis
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis
Differentiate between .call by value and call by reference.,Analysis
Differentiate printf function calls for displaying prompts and for echoing data.,Analysis
Distinguish between micro and macro economics.,Analysis
Distinguish facts from hypotheses,Analysis
"Divide the story into initiating event, rising action, climax, and falling action",Analysis
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
How does your pet differ from other animals?,Analysis
How does...compare/contrast with...?,Analysis
How is . . . similar to . . .?,Analysis
How was life different in your town 100 years ago?,Analysis
How was this similar to . . .?,Analysis
How would this story be different if it had happened in a different country?,Analysis
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analysis
"If your story happened in a foreign land, compare that land to the United States.",Analysis
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
Investigate innovations that can enhance future Olympics.,Analysis
Make a diagnosis or analyze a case study.,Analysis
Select the athlete of the century and analyze why you chose this person.,Analysis
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis
What are the parts or features of...?,Analysis
Distinguish between the following giving suitable examples,Analysis
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis
How does Tdap differ from Td vaccine,Analysis
How does autonomy differ with age,Analysis
In what ways do female offenders differ from male offenders,Analysis
in what ways trajectory patterns differ according to ABC,Analysis
How do psychologists differ in their general attitudes toward third party presence,Analysis
How did Chinese newspapers differ from US,Analysis
How does public health reporting differ today from reporting two years before,Analysis
How does an endorsement differ from a teaching certificate,Analysis
How do we differentiate between genuine buyer and undercover buyer,Analysis
How do we differentiate between an interview and an interrogation?,Analysis
Differentiate between the following terms along with appropriate examples,Analysis
Differentiate the following functions using the quotient rule,Analysis
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis
How would you differentiate obstructive apneas from central apneas,Analysis
How would you differentiate a project from a program,Analysis
How is scientific progress similar to Darwinian evolution according to Kuhn,Analysis
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analysis
In what ways are foxes similar to wolves and dogs,Analysis
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis
Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysis
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
Examine differences between the means of each individual switching factor.,Analysis
Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysis
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysis
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis
Can you distinguish for me between what is reasonably achievable and what are exaggerations,Analysis
Can you distinguish aged rums from unaged rums by smell,Analysis
Can you distinguish pot still rums from column still rums by taste,Analysis
Inspect the pattern of GPS positions relative to the “known” published value,Analysis
How does your agency inspect against its expectation for operators,Analysis
How to inspect and maintain fresh water plumbing systems properly,Analysis
Can you analyze the fractures and determine which should be repaired surgically,Analysis
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysis
How do you analyze a marginally RCT,Analysis
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",Analysis
Contrast the Valles Marineris on Mars with the Grand Canyon,Analysis
How does Hawaii contrast and compare to Florida?,Analysis
Investigate whether or not the system can be solved for x; y; z,Analysis
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
How would you investigate this patient,Analysis
How would you investigate this abnormality,Analysis
What can I do to investigate this problem further,Analysis
how the investigation was undertaken,Analysis
How would you differentiate between heterodox and mainstream,Analysis
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
Can you create new and unusual uses for . . .?,Synthesis
Can you design a . . . to . . .?,Synthesis
Can you develop a proposal which would . . .?,Synthesis
Can you invent another character for the story?,Synthesis
Can you see a possible solution to . . .?,Synthesis
Can you write a new recipe for a tasty dish?,Synthesis
Choose a character. Rewrite a scene from the story from this character's point of view.,Synthesis
Combine any two sports to develop a new Olympic sport.,Synthesis
"Combine elements of drama, music, and dance into a stage presentation.",Synthesis
Compose a class story.,Synthesis
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Synthesis
Compose a rhythm or put new words to a known melody.,Synthesis
Compose a simple rap or rhyme about zoo animals.,Synthesis
Compose music for a frog play.,Synthesis
Compose a complete C program that reads text strings from a text file into a suitable data,Synthesis
Compose a device that would assist an athlete in their training.,Synthesis
Compose an original work which incorporates five common materials in sculpture.,Synthesis
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
Create a chart that compares things that use electricity and things that do NOT use electricity.,Synthesis
Create a new product. Give it a name and plan a marketing campaign.,Synthesis
"Create a new song for the opening line of ""Mary had a little lamb"".",Synthesis
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Synthesis
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
Create an equation to represent the solution to this problem.,Synthesis
Create and perform a play about frogs.,Synthesis
Create plan of local environment by drawing around boxes.,Synthesis
Design a building according to given specifications,Synthesis
design a cost effective strategy to generate reliable data.,Synthesis
Design a machine to perform a specific task.,Synthesis
Design a new animal to live in the jungle.,Synthesis
Design a poster for this book.,Synthesis
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis
Design and make an animal that moves.,Synthesis
Design costumes for the characters.,Synthesis
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
Develop a hypothesis.,Synthesis
Develop a plan for a new Olympic Bid System.,Synthesis
Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
"Develop a way to teach the concept of ""adjectives"".",Synthesis
Develop one plausible ending for all three short stories below.,Synthesis
Devise a new economic system based on the ones that already exist.,Synthesis
Devise plans to market or make artwork more valuable.,Synthesis
Draw a painting that uses various principles of perspective to achieve its effect.,Synthesis
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Synthesis
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Synthesis
Given two opposing theories design an experiment to compare them.,Synthesis
How could we determine the number of pennies in a jar without counting them?,Synthesis
How could you re-write this story with a city setting?,Synthesis
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis
How many ways can you . . .?,Synthesis
How would the U.S.A. be different if the South had won the Civil War?,Synthesis
How would you change the story to create a different ending?,Synthesis
How would you create/design a new...?,Synthesis
How would you restructure the school day to reflect children's developmental needs?,Synthesis
Identify one problem in the book and give an alternate solution one not given by the author.,Synthesis
If you had access to all resources how would you deal with . . .?,Synthesis
Integrate training from several sources to solve a problem.,Synthesis
Invent a machine to do a specific task.,Synthesis
Justify your choice of data structure.,Synthesis
Make a radio announcement that advertise the book. Write it out.,Synthesis
Make up a new language code and write material using it.,Synthesis
Name one character. Rewrite the story from this character's point of view.,Synthesis
Organize this book into three or more sections and give your own subtitle for each section.,Synthesis
Plan a research paper on a given historical topic,Synthesis
Predict the differences of a planet with no seasonal changes.,Synthesis
Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what you would say.,Synthesis
Revise and process to improve the outcome.,Synthesis
Revise how to complete a complex task in order to improve the outcome.,Synthesis
Revises and process to improve the outcome.,Synthesis
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Synthesis
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
"Using information from the book about one of the main characters, rewrite the ending of the book.",Synthesis
What ideas can you add to...?,Synthesis
What might happen if you combined...?,Synthesis
What solutions would you suggest for...?,Synthesis
What would happen if . . .?,Synthesis
What would you predict/infer from...?,Synthesis
Why don’t you devise your own way to deal with . . .?,Synthesis
Why not compose a song about . . .?,Synthesis
"Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Synthesis
Write a letter to the editor on a social issue of concern to you.,Synthesis
Write a logically organized argument in favor of a given position.,Synthesis
Write a poem about this book.,Synthesis
Write a set of rules to prevent what happened in the story.,Synthesis
Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Synthesis
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Synthesis
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis
How can we combine and abstract facts about a software system to create new knowledge?,Synthesis
How to combine virtual symmetry and symbolic model checking effectively,Synthesis
How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis
how do we devise a way to enforce the laws,Synthesis
can you devise an explicit formula for,Synthesis
Do you devise a systematic approach in order to get larger progressions,Synthesis
Develop and execute a program for this exercise,Synthesis
Develop a network based on the following information: Activity Immediate predecessors,Synthesis
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Synthesis
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluation
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluation
Appraise data in support of a hypothesis.,Evaluation
Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
Are there students who should not use the Cornell method?,Evaluation
Are you a . . . person?,Evaluation
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
Assess the importance of understanding seasonal patters.,Evaluation
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluation
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluation
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluation
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluation
Can you defend your position about . . .?,Evaluation
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluation
Choose and illustrate the two most important events in the story.,Evaluation
Conclude and support which economic system leads to a higher standard of living.,Evaluation
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluation
Critique an experimental design or a research proposal.,Evaluation
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluation
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluation
Decide whether you learned enough about electricity from this book.,Evaluation
Decide which candidate would best fill the position of principal.,Evaluation
Decide which course of action was most effective,Evaluation
Decide which method of solving a problem was most effective,Evaluation
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation
Defend your use of a specific strategy in solving the problem.,Evaluation
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluation
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation
Determine if a character’s actions were heroic,Evaluation
Do you agree...?,Evaluation
Do you think . . . is a good or a bad thing?,Evaluation
Establish criteria for making this choice and defend your final selection.,Evaluation
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
Evaluate appropriate and inappropriate actions of characters.,Evaluation
Evaluate board games and justify why rules are important.,Evaluation
Evaluate the corrosion monitoring needs of a chemical processing plant,Evaluation
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluation
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
Evaluate whether their model is a true representation of the local environment.,Evaluation
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluation
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation
